RecNo,Date,LessonsRecNo,Score,StudentsRecNo
7,2012-05-16,4,83,1285
8,2011-11-20,1,95,873
10,2012-06-01,1,95,1207
11,2012-06-29,5,94,1207
12,2012-06-29,4,84,727
13,2012-06-29,4,98,924
14,2012-06-29,4,97,824
19,2012-06-29,5,96,962
20,2012-06-29,7,97,962
25,2012-07-01,4,87,1170
29,2012-07-01,6,98,1170
34,2012-07-03,4,97,874
35,2012-07-03,4,97,873
36,2012-07-03,4,91,839
45,2012-07-03,1,90,733
46,2012-07-03,4,95,733
67,2012-02-19,1,100,1050
68,2012-03-18,2,87,1050
69,2012-02-19,4,91,1050
70,2012-05-27,6,99,1050
71,2012-05-27,5,90,1050
72,2012-06-03,7,85,1050
73,2012-04-11,2,92,1252
74,2012-04-11,3,96,1252
75,2012-05-06,4,99,1252
76,2012-05-06,6,87,1252
77,2012-04-29,5,96,1252
78,2012-05-23,7,99,1252
108,2012-06-01,1,95,1207
109,2012-06-29,2,86,1207
110,2012-06-01,3,84,1207
111,2012-06-01,4,88,1207
112,2012-06-24,6,94,1207
114,2012-05-25,7,93,1207
115,2012-03-29,1,90,1208
118,2012-01-11,1,100,975
127,2012-03-22,2,67,1176
130,2012-05-15,1,90,1048
131,2012-04-01,2,72,1048
132,2012-02-21,3,58,1048
133,2012-05-07,4,92,1048
134,2012-05-01,6,79,1048
149,2012-03-22,1,95,1049
150,2012-03-19,2,92,1049
151,2012-02-21,3,98,1049
152,2012-05-29,7,96,1049
153,2012-01-30,1,100,1008
154,2012-03-12,1,100,1126
155,2012-06-05,2,97,1126
156,2012-03-12,3,96,1126
157,2012-06-05,4,100,1126
158,2012-06-24,6,99,1126
159,2012-06-24,5,98,1126
163,2012-04-13,1,100,1239
164,2012-04-27,2,82,1239
165,2012-04-27,4,95,1239
166,2012-04-27,6,96,1239
167,2012-05-03,5,99,1239
168,2012-05-25,7,99,1239
174,2012-03-19,1,75,1170
175,2012-03-19,2,87,1170
176,2012-04-22,3,100,1170
177,2012-04-24,2,80,1115
179,2012-04-27,4,100,1275
180,2012-04-27,6,93,1275
192,2012-03-05,1,100,1129
193,2012-06-14,2,92,1129
194,2012-06-14,3,92,1129
195,2012-06-16,4,95,1129
211,2013-05-29,1,89,996
212,2013-05-29,4,89,1285
213,2013-05-29,5,89,1285
215,2013-05-29,1,89,998
236,2012-06-04,1,100,1317
237,2012-06-04,3,92,1317
242,2012-03-12,1,95,1134
243,2012-06-12,2,94,1134
244,2012-03-12,3,98,1134
245,2012-06-05,4,93,1134
246,2012-06-24,6,88,1134
247,2012-06-24,5,96,1134
248,2012-03-29,1,45,1203
249,2012-03-29,2,50,1203
250,2012-03-29,3,62,1203
251,2012-05-10,4,92,1203
252,2012-05-10,5,76,1203
253,2012-05-10,7,94,1203
266,2012-01-10,1,85,962
267,2012-01-11,2,95,962
268,2012-03-29,3,98,962
269,2012-02-21,4,99,962
270,2012-05-01,6,97,962
272,2012-02-16,6,99,947
277,2012-01-12,1,100,983
278,2012-01-12,2,96,983
279,2012-01-12,3,92,983
280,2012-01-12,4,94,983
281,2012-01-12,6,98,983
282,2012-06-17,5,90,983
283,2012-01-27,7,100,983
284,2012-01-30,1,85,1000
285,2012-03-31,2,64,1000
309,2012-03-29,1,90,1206
310,2012-04-04,1,90,1180
311,2012-04-04,2,65,1180
312,2012-04-24,3,72,1180
338,2012-03-29,1,95,1213
339,2012-04-17,2,93,1213
340,2012-05-02,4,98,1213
341,2012-05-20,6,96,1213
342,2012-05-20,4,98,1213
343,2012-05-25,7,97,1213
368,2012-03-08,1,100,1104
369,2012-03-04,2,94,1104
370,2012-04-29,4,92,1104
371,2012-04-29,6,87,1104
372,2012-06-03,7,96,1104
373,2012-04-17,1,90,1248
374,2012-04-17,2,78,1248
375,2012-04-17,3,88,1248
376,2012-05-07,4,85,1248
377,2012-05-07,6,96,1248
378,2012-05-20,5,88,1248
379,2012-06-12,7,95,1248
400,2012-05-03,5,97,1277
405,2012-06-04,1,100,1315
406,2012-06-04,3,92,1315
419,2012-03-12,1,100,1071
420,2012-06-05,2,100,1071
421,2012-03-12,3,92,1071
422,2012-06-05,4,100,1071
423,2012-06-19,6,100,1071
424,2012-06-19,5,99,1071
425,2012-06-24,7,99,1071
426,2012-05-31,1,100,1291
456,2012-03-29,1,90,1210
457,2012-06-24,6,83,1210
470,2012-02-16,4,98,947
477,2012-05-24,1,95,1146
478,2012-06-05,2,96,1146
479,2012-03-12,3,100,1146
480,2012-05-31,4,100,1146
481,2012-06-19,6,100,1146
498,2012-06-12,1,100,1318
499,2012-06-12,2,98,1318
500,2012-06-12,3,98,1318
501,2012-06-12,4,99,1318
502,2012-06-26,6,95,1318
504,2012-04-04,1,95,1181
505,2012-04-04,2,97,1181
506,2012-04-04,3,100,1181
507,2012-04-04,4,99,1181
508,2012-05-06,6,100,1181
509,2012-05-06,5,100,1181
510,2012-07-31,7,98,1181
520,2012-04-27,2,92,1273
521,2012-04-27,6,100,1273
538,2012-03-22,1,100,1217
539,2012-05-08,4,94,1217
540,2012-05-08,6,96,1217
571,2012-01-30,1,85,997
580,2012-05-03,2,79,1281
581,2012-05-03,4,92,1281
582,2012-05-03,6,91,1281
583,2012-05-03,5,97,1281
599,2012-01-12,1,90,984
600,2012-01-12,2,97,984
601,2012-01-12,3,96,984
602,2012-01-12,4,98,984
603,2012-01-12,6,100,984
604,2012-05-25,5,99,984
605,2012-01-26,7,96,984
608,2012-04-12,1,95,1237
609,2012-04-24,2,79,1237
610,2012-04-24,4,94,1237
611,2012-04-24,6,90,1237
612,2012-05-30,5,95,1237
613,2012-05-30,7,98,1237
616,2012-04-19,2,86,1261
617,2012-04-19,4,92,1261
618,2012-05-03,6,93,1261
619,2012-05-31,5,98,1261
620,2012-05-31,7,96,1261
621,2012-06-12,1,95,1319
622,2012-06-12,2,91,1319
623,2012-06-12,3,96,1319
624,2012-06-12,4,99,1319
670,2012-03-22,1,95,1205
671,2012-03-22,3,92,1205
672,2012-05-15,4,94,1205
673,2012-05-15,6,96,1205
674,2012-05-29,7,99,1205
691,2012-03-22,1,50,1191
692,2012-03-22,2,60,1191
705,2012-05-03,4,89,1283
706,2012-05-03,6,89,1283
707,2012-05-25,5,98,1283
708,2012-05-25,7,96,1283
713,2012-04-24,1,100,1271
714,2012-05-01,4,82,1271
715,2012-05-29,7,97,1271
730,2012-01-06,1,95,936
731,2011-12-23,2,67,936
732,2012-06-27,2,60,1255
733,2012-06-27,6,99,1255
734,2012-06-27,5,98,1255
735,2012-05-31,2,68,1321
736,2012-05-31,6,62,1321
753,2012-05-31,1,100,1307
763,2011-11-21,1,95,859
764,2012-03-19,2,90,859
765,2011-11-14,1,100,841
766,2012-02-19,2,96,727
767,2012-01-05,1,100,947
775,2011-11-21,1,95,874
776,2012-04-22,2,98,874
777,2012-03-29,1,90,1219
793,2011-11-22,1,95,857
794,2012-02-20,2,95,857
795,2012-05-29,3,92,857
801,2012-04-05,1,95,1227
802,2012-02-16,2,92,947
827,2012-04-24,1,75,1269
840,2011-11-21,1,95,873
841,2012-03-19,2,88,873
842,2012-07-03,4,97,873
852,2012-04-24,3,68,1270
857,2012-02-26,1,100,1115
860,2012-07-12,1,80,1377
865,2012-04-17,1,100,1260
866,2012-04-17,2,98,1260
867,2012-04-24,3,98,1260
868,2012-05-10,6,98,1260
869,2012-05-10,5,99,1260
876,2012-03-12,2,93,1153
892,2012-07-12,1,100,1378
893,2011-11-21,1,95,872
894,2012-03-19,2,96,872
895,2011-11-13,1,100,835
903,2012-06-04,1,90,1312
918,2011-12-05,1,100,892
949,2012-04-16,1,90,1199
950,2012-04-12,2,38,1199
951,2012-05-10,3,60,1199
953,2012-04-15,2,75,1194
956,2012-06-04,1,95,1311
960,2012-03-25,1,100,1194
965,2011-11-21,1,95,875
966,2012-02-20,2,97,875
971,2012-03-20,6,99,910
972,2012-03-20,7,95,910
979,2011-11-14,1,100,839
980,2012-03-19,2,68,839
981,2012-04-12,2,88,1219
991,2011-11-14,1,100,845
1003,2012-04-16,2,98,1196
1004,2012-04-16,3,100,1196
1005,2012-04-16,4,98,1196
1006,2012-04-17,6,95,1196
1007,2012-04-17,5,100,1196
1008,2012-04-17,7,100,1196
1009,2012-05-15,1,95,1286
1010,2011-12-05,1,85,891
1017,2011-12-05,1,100,887
1028,2011-11-14,1,100,840
1029,2012-03-12,2,91,840
1030,2012-04-02,3,100,840
1031,2012-04-05,1,100,1229
1032,2011-11-10,1,100,819
1033,2011-12-22,1,100,924
1034,2012-03-12,2,95,924
1035,2012-02-16,3,92,947
1041,2012-06-04,1,85,1313
1071,2012-05-16,1,100,1290
1072,2012-05-16,2,94,1290
1118,2012-04-11,2,93,1225
1123,2011-11-14,1,85,846
1124,2011-11-17,1,80,824
1125,2012-02-27,2,71,824
1128,2012-06-14,1,65,1324
1129,2011-11-22,1,100,862
1130,2012-04-27,2,99,862
1131,2011-12-15,3,100,862
1132,2012-04-27,4,100,862
1133,2012-04-27,6,100,862
1144,2012-04-24,1,100,1265
1178,2012-04-05,1,95,1226
1179,2012-06-26,2,91,1226
1180,2012-06-26,3,96,1226
1183,2012-04-24,1,90,1267
1184,2011-11-13,1,95,847
1185,2012-03-19,2,97,847
1186,2012-03-25,3,100,847
1207,2012-04-24,1,70,1268
1222,2011-12-09,1,100,900
1230,2012-02-27,1,90,1108
1238,2012-04-17,1,100,1258
1239,2012-04-17,2,98,1258
1240,2012-04-17,3,100,1258
1241,2012-04-17,4,100,1258
1242,2012-04-17,6,88,1258
1243,2012-04-17,5,88,1258
1244,2012-04-17,1,85,1254
1277,2012-04-05,1,100,1233
1281,2012-07-17,5,99,1170
1282,2012-07-17,7,98,1170
1283,2012-07-17,6,89,1203
1286,2012-07-24,4,100,840
1287,2012-07-24,6,98,1290
1288,2012-07-24,4,99,1290
1293,2012-08-01,4,93,857
1299,2012-08-01,6,97,1129
1300,2012-08-02,3,76,1237
1309,2012-08-07,5,99,1146
1310,2012-08-07,7,100,1146
1312,2012-08-07,7,99,1126
1318,2012-08-08,1,100,1383
1320,2012-08-08,1,80,1385
1325,2012-08-08,7,100,1129
1327,2012-08-09,3,96,1239
1330,2012-08-14,3,98,733
1335,2012-08-14,1,95,1392
1341,2012-08-14,1,100,1407
1343,2012-08-14,1,100,1401
1350,2012-08-14,3,88,727
1351,2012-08-14,6,79,727
1365,2012-08-17,1,100,1408
1380,2012-08-22,1,85,1413
1384,2012-08-23,6,100,924
1391,2012-08-30,3,100,1286
1394,2012-09-08,7,98,862
1395,2012-09-08,4,99,1226
1396,2012-09-08,5,100,1226
1397,2012-09-08,7,99,1226
1399,2012-09-08,6,99,1226
1401,2012-09-08,6,78,824
1402,2012-09-08,2,98,1351
1410,2012-09-11,3,94,1413
1411,2012-09-11,4,94,1413
1413,2012-09-11,7,84,1413
1426,2012-09-11,3,90,1399
1445,2012-09-19,3,90,1392
1447,2012-09-19,1,85,1418
1448,2012-09-19,3,66,1418
1454,2012-09-19,1,100,1426
1455,2012-09-19,1,100,1429
1456,2012-09-19,1,100,1428
1460,2012-09-19,1,100,1427
1472,2012-09-25,4,98,1430
1475,2012-09-25,3,92,892
1476,2012-09-25,2,92,1217
1478,2012-09-25,5,99,862
1487,2012-09-26,7,62,824
1489,2012-09-26,6,98,892
1490,2012-09-26,2,99,1315
1491,2012-09-26,4,99,1315
1492,2012-09-26,6,97,1315
1493,2012-09-26,5,93,1315
1494,2012-09-26,7,92,1315
1524,2012-10-02,1,35,1437
1525,2012-10-02,1,85,1450
1544,2012-10-02,6,92,1418
1565,2012-10-04,5,98,1290
1574,2012-10-04,1,70,1452
1583,2012-10-04,1,80,1466
1587,2012-10-10,2,89,1427
1590,2012-10-09,5,90,1104
1591,2012-10-09,2,85,1205
1592,2012-10-09,4,99,892
1593,2012-10-09,7,86,892
1594,2012-10-09,4,83,1049
1595,2012-10-09,6,94,1049
1596,2012-10-09,5,98,1049
1597,2012-10-09,5,99,1217
1598,2012-10-09,3,86,1217
1600,2012-10-09,5,94,1205
1612,2012-10-18,1,100,1486
1617,2012-10-25,3,94,1509
1618,2012-10-25,4,81,1509
1621,2012-10-25,2,96,1286
1636,2012-10-30,2,98,1291
1637,2012-10-30,3,98,1291
