GradeRecNo,GradeDateGraded,GradeLessonsRecNo,GradeScore,GradeStudentsRecNo,GradeDateSent,GradeDateReceived,GradeComments
6,2012-04-17,6,95,1196,NULL,NULL,NULL
29,2012-07-01,6,98,1170,NULL,NULL,NULL
70,2012-05-27,6,99,1050,NULL,NULL,NULL
76,2012-05-06,6,87,1252,NULL,NULL,NULL
112,2012-06-24,6,94,1207,NULL,NULL,NULL
134,2012-05-01,6,79,1048,NULL,NULL,NULL
158,2012-06-24,6,99,1126,NULL,NULL,NULL
166,2012-04-27,6,96,1239,NULL,NULL,NULL
180,2012-04-27,6,93,1275,NULL,NULL,NULL
246,2012-06-24,6,88,1134,NULL,NULL,NULL
270,2012-05-01,6,97,962,NULL,NULL,NULL
272,2012-02-16,6,99,947,NULL,NULL,NULL
281,2012-01-12,6,98,983,NULL,NULL,NULL
341,2012-05-20,6,96,1213,NULL,NULL,NULL
371,2012-04-29,6,87,1104,NULL,NULL,NULL
377,2012-05-07,6,96,1248,NULL,NULL,NULL
423,2012-06-19,6,100,1071,NULL,NULL,NULL
457,2012-06-24,6,83,1210,NULL,NULL,NULL
481,2012-06-19,6,100,1146,NULL,NULL,NULL
502,2012-06-26,6,95,1318,NULL,NULL,NULL
508,2012-05-06,6,100,1181,NULL,NULL,NULL
521,2012-04-27,6,100,1273,NULL,NULL,NULL
540,2012-05-08,6,96,1217,NULL,NULL,NULL
582,2012-05-03,6,91,1281,NULL,NULL,NULL
603,2012-01-12,6,100,984,NULL,NULL,NULL
611,2012-04-24,6,90,1237,NULL,NULL,NULL
618,2012-05-03,6,93,1261,NULL,NULL,NULL
673,2012-05-15,6,96,1205,NULL,NULL,NULL
706,2012-05-03,6,89,1283,NULL,NULL,NULL
733,2012-06-27,6,99,1255,NULL,NULL,NULL
736,2012-05-31,6,62,1321,NULL,NULL,NULL
868,2012-05-10,6,98,1260,NULL,NULL,NULL
971,2012-03-20,6,99,910,NULL,NULL,NULL
1006,2012-04-17,6,95,1196,NULL,NULL,NULL
1133,2012-04-27,6,100,862,NULL,NULL,NULL
1242,2012-04-17,6,88,1258,NULL,NULL,NULL
1283,2012-07-17,6,89,1203,NULL,NULL,NULL
1287,2012-07-24,6,98,1290,NULL,NULL,NULL
1299,2012-08-01,6,97,1129,NULL,NULL,NULL
1351,2012-08-14,6,79,727,NULL,NULL,NULL
1384,2012-08-23,6,100,924,NULL,NULL,NULL
1399,2012-09-08,6,99,1226,NULL,NULL,NULL
1401,2012-09-08,6,78,824,NULL,NULL,NULL
1489,2012-09-26,6,98,892,NULL,NULL,NULL
1492,2012-09-26,6,97,1315,NULL,NULL,NULL
1544,2012-10-02,6,92,1418,NULL,NULL,NULL
1595,2012-10-09,6,94,1049,NULL,NULL,NULL
1711,2012-11-27,6,92,1526,NULL,NULL,NULL
1714,2012-11-27,6,90,1528,NULL,NULL,NULL
1747,2012-11-28,6,95,1525,NULL,NULL,NULL
1751,2012-11-29,6,96,1513,NULL,NULL,NULL
1794,2012-12-11,6,85,1427,NULL,NULL,NULL
1805,2012-12-11,6,96,839,NULL,NULL,NULL
1896,2013-01-15,6,100,872,NULL,NULL,NULL
1898,2013-01-15,6,36,1199,NULL,NULL,NULL
1990,2013-03-01,6,98,1625,NULL,NULL,NULL
2081,2013-04-14,6,78,1486,NULL,NULL,NULL
2125,2013-05-29,6,89,1428,NULL,NULL,NULL
2173,2013-05-29,6,89,1426,NULL,NULL,NULL
