GradeRecNo,GradeDateGraded,GradeLessonsRecNo,GradeScore,GradeStudentsRecNo,GradeDateSent,GradeDateReceived,GradeComments
11,2012-06-29,5,94,1207,NULL,NULL,NULL
19,2012-06-29,5,96,962,NULL,NULL,NULL
71,2012-05-27,5,90,1050,NULL,NULL,NULL
77,2012-04-29,5,96,1252,NULL,NULL,NULL
159,2012-06-24,5,98,1126,NULL,NULL,NULL
167,2012-05-03,5,99,1239,NULL,NULL,NULL
213,2013-05-29,5,89,1285,NULL,NULL,NULL
247,2012-06-24,5,96,1134,NULL,NULL,NULL
252,2012-05-10,5,76,1203,NULL,NULL,NULL
282,2012-06-17,5,90,983,NULL,NULL,NULL
378,2012-05-20,5,88,1248,NULL,NULL,NULL
400,2012-05-03,5,97,1277,NULL,NULL,NULL
424,2012-06-19,5,99,1071,NULL,NULL,NULL
509,2012-05-06,5,100,1181,NULL,NULL,NULL
583,2012-05-03,5,97,1281,NULL,NULL,NULL
604,2012-05-25,5,99,984,NULL,NULL,NULL
612,2012-05-30,5,95,1237,NULL,NULL,NULL
619,2012-05-31,5,98,1261,NULL,NULL,NULL
707,2012-05-25,5,98,1283,NULL,NULL,NULL
734,2012-06-27,5,98,1255,NULL,NULL,NULL
869,2012-05-10,5,99,1260,NULL,NULL,NULL
1007,2012-04-17,5,100,1196,NULL,NULL,NULL
1243,2012-04-17,5,88,1258,NULL,NULL,NULL
1281,2012-07-17,5,99,1170,NULL,NULL,NULL
1309,2012-08-07,5,99,1146,NULL,NULL,NULL
1396,2012-09-08,5,100,1226,NULL,NULL,NULL
1478,2012-09-25,5,99,862,NULL,NULL,NULL
1493,2012-09-26,5,93,1315,NULL,NULL,NULL
1565,2012-10-04,5,98,1290,NULL,NULL,NULL
1590,2012-10-09,5,90,1104,NULL,NULL,NULL
1596,2012-10-09,5,98,1049,NULL,NULL,NULL
1597,2012-10-09,5,99,1217,NULL,NULL,NULL
1600,2012-10-09,5,94,1205,NULL,NULL,NULL
1713,2012-11-27,5,93,1526,NULL,NULL,NULL
1716,2012-11-27,5,97,1528,NULL,NULL,NULL
1790,2012-12-11,5,79,1427,NULL,NULL,NULL
1909,2013-01-21,5,73,1486,NULL,NULL,NULL
1993,2013-03-01,5,99,1525,NULL,NULL,NULL
2127,2013-05-29,5,89,1428,NULL,NULL,NULL
2174,2013-05-29,5,89,1426,NULL,NULL,NULL
