GradeRecNo,GradeDateGraded,GradeLessonsRecNo,GradeScore,GradeStudentsRecNo,GradeDateSent,GradeDateReceived,GradeComments
5,2012-04-16,4,98,1196,NULL,NULL,NULL
7,2012-05-16,4,83,1285,NULL,NULL,NULL
12,2012-06-29,4,84,727,NULL,NULL,NULL
13,2012-06-29,4,98,924,NULL,NULL,NULL
14,2012-06-29,4,97,824,NULL,NULL,NULL
25,2012-07-01,4,87,1170,NULL,NULL,NULL
34,2012-07-03,4,97,874,NULL,NULL,NULL
35,2012-07-03,4,97,873,NULL,NULL,NULL
36,2012-07-03,4,91,839,NULL,NULL,NULL
46,2012-07-03,4,95,733,NULL,NULL,NULL
69,2012-02-19,4,91,1050,NULL,NULL,NULL
75,2012-05-06,4,99,1252,NULL,NULL,NULL
111,2012-06-01,4,88,1207,NULL,NULL,NULL
133,2012-05-07,4,92,1048,NULL,NULL,NULL
157,2012-06-05,4,100,1126,NULL,NULL,NULL
165,2012-04-27,4,95,1239,NULL,NULL,NULL
179,2012-04-27,4,100,1275,NULL,NULL,NULL
195,2012-06-16,4,95,1129,NULL,NULL,NULL
212,2013-05-29,4,89,1285,NULL,NULL,NULL
245,2012-06-05,4,93,1134,NULL,NULL,NULL
251,2012-05-10,4,92,1203,NULL,NULL,NULL
269,2012-02-21,4,99,962,NULL,NULL,NULL
280,2012-01-12,4,94,983,NULL,NULL,NULL
340,2012-05-02,4,98,1213,NULL,NULL,NULL
342,2012-05-20,4,98,1213,NULL,NULL,NULL
370,2012-04-29,4,92,1104,NULL,NULL,NULL
376,2012-05-07,4,85,1248,NULL,NULL,NULL
422,2012-06-05,4,100,1071,NULL,NULL,NULL
470,2012-02-16,4,98,947,NULL,NULL,NULL
480,2012-05-31,4,100,1146,NULL,NULL,NULL
501,2012-06-12,4,99,1318,NULL,NULL,NULL
507,2012-04-04,4,99,1181,NULL,NULL,NULL
539,2012-05-08,4,94,1217,NULL,NULL,NULL
581,2012-05-03,4,92,1281,NULL,NULL,NULL
602,2012-01-12,4,98,984,NULL,NULL,NULL
610,2012-04-24,4,94,1237,NULL,NULL,NULL
617,2012-04-19,4,92,1261,NULL,NULL,NULL
624,2012-06-12,4,99,1319,NULL,NULL,NULL
672,2012-05-15,4,94,1205,NULL,NULL,NULL
705,2012-05-03,4,89,1283,NULL,NULL,NULL
714,2012-05-01,4,82,1271,NULL,NULL,NULL
842,2012-07-03,4,97,873,NULL,NULL,NULL
1005,2012-04-16,4,98,1196,NULL,NULL,NULL
1132,2012-04-27,4,100,862,NULL,NULL,NULL
1241,2012-04-17,4,100,1258,NULL,NULL,NULL
1286,2012-07-24,4,100,840,NULL,NULL,NULL
1288,2012-07-24,4,99,1290,NULL,NULL,NULL
1293,2012-08-01,4,93,857,NULL,NULL,NULL
1395,2012-09-08,4,99,1226,NULL,NULL,NULL
1411,2012-09-11,4,94,1413,NULL,NULL,NULL
1472,2012-09-25,4,98,1430,NULL,NULL,NULL
1491,2012-09-26,4,99,1315,NULL,NULL,NULL
1592,2012-10-09,4,99,892,NULL,NULL,NULL
1594,2012-10-09,4,83,1049,NULL,NULL,NULL
1618,2012-10-25,4,81,1509,NULL,NULL,NULL
1638,2012-10-30,4,98,1291,NULL,NULL,NULL
1649,2012-11-08,4,100,1513,NULL,NULL,NULL
1709,2012-11-27,4,91,1526,NULL,NULL,NULL
1712,2012-11-27,4,90,1528,NULL,NULL,NULL
1789,2012-12-11,4,86,1427,NULL,NULL,NULL
1796,2012-12-11,4,99,1286,NULL,NULL,NULL
1991,2013-03-01,4,99,1625,NULL,NULL,NULL
1995,2013-03-01,4,95,1525,NULL,NULL,NULL
2082,2013-04-14,4,72,1486,NULL,NULL,NULL
2124,2013-05-29,4,89,1428,NULL,NULL,NULL
2172,2013-05-29,4,89,1426,NULL,NULL,NULL
2179,2013-05-29,4,89,1383,NULL,NULL,NULL
