GradeRecNo,GradeDateGraded,GradeLessonsRecNo,GradeScore,GradeStudentsRecNo,GradeDateSent,GradeDateReceived,GradeComments
8,2011-11-20,1,95,873,NULL,NULL,NULL
10,2012-06-01,1,95,1207,NULL,NULL,NULL
45,2012-07-03,1,90,733,NULL,NULL,NULL
67,2012-02-19,1,100,1050,NULL,NULL,NULL
108,2012-06-01,1,95,1207,NULL,NULL,NULL
115,2012-03-29,1,90,1208,NULL,NULL,NULL
118,2012-01-11,1,100,975,NULL,NULL,NULL
130,2012-05-15,1,90,1048,NULL,NULL,NULL
149,2012-03-22,1,95,1049,NULL,NULL,NULL
153,2012-01-30,1,100,1008,NULL,NULL,NULL
154,2012-03-12,1,100,1126,NULL,NULL,NULL
163,2012-04-13,1,100,1239,NULL,NULL,NULL
174,2012-03-19,1,75,1170,NULL,NULL,NULL
192,2012-03-05,1,100,1129,NULL,NULL,NULL
211,2013-05-29,1,89,996,NULL,NULL,NULL
215,2013-05-29,1,89,998,NULL,NULL,NULL
236,2012-06-04,1,100,1317,NULL,NULL,NULL
242,2012-03-12,1,95,1134,NULL,NULL,NULL
248,2012-03-29,1,45,1203,NULL,NULL,NULL
266,2012-01-10,1,85,962,NULL,NULL,NULL
277,2012-01-12,1,100,983,NULL,NULL,NULL
284,2012-01-30,1,85,1000,NULL,NULL,NULL
309,2012-03-29,1,90,1206,NULL,NULL,NULL
310,2012-04-04,1,90,1180,NULL,NULL,NULL
338,2012-03-29,1,95,1213,NULL,NULL,NULL
368,2012-03-08,1,100,1104,NULL,NULL,NULL
373,2012-04-17,1,90,1248,NULL,NULL,NULL
405,2012-06-04,1,100,1315,NULL,NULL,NULL
419,2012-03-12,1,100,1071,NULL,NULL,NULL
426,2012-05-31,1,100,1291,NULL,NULL,NULL
456,2012-03-29,1,90,1210,NULL,NULL,NULL
477,2012-05-24,1,95,1146,NULL,NULL,NULL
498,2012-06-12,1,100,1318,NULL,NULL,NULL
504,2012-04-04,1,95,1181,NULL,NULL,NULL
538,2012-03-22,1,100,1217,NULL,NULL,NULL
571,2012-01-30,1,85,997,NULL,NULL,NULL
599,2012-01-12,1,90,984,NULL,NULL,NULL
608,2012-04-12,1,95,1237,NULL,NULL,NULL
621,2012-06-12,1,95,1319,NULL,NULL,NULL
670,2012-03-22,1,95,1205,NULL,NULL,NULL
691,2012-03-22,1,50,1191,NULL,NULL,NULL
713,2012-04-24,1,100,1271,NULL,NULL,NULL
730,2012-01-06,1,95,936,NULL,NULL,NULL
753,2012-05-31,1,100,1307,NULL,NULL,NULL
763,2011-11-21,1,95,859,NULL,NULL,NULL
765,2011-11-14,1,100,841,NULL,NULL,NULL
767,2012-01-05,1,100,947,NULL,NULL,NULL
775,2011-11-21,1,95,874,NULL,NULL,NULL
777,2012-03-29,1,90,1219,NULL,NULL,NULL
793,2011-11-22,1,95,857,NULL,NULL,NULL
801,2012-04-05,1,95,1227,NULL,NULL,NULL
827,2012-04-24,1,75,1269,NULL,NULL,NULL
840,2011-11-21,1,95,873,NULL,NULL,NULL
857,2012-02-26,1,100,1115,NULL,NULL,NULL
860,2012-07-12,1,80,1377,NULL,NULL,NULL
865,2012-04-17,1,100,1260,NULL,NULL,NULL
892,2012-07-12,1,100,1378,NULL,NULL,NULL
893,2011-11-21,1,95,872,NULL,NULL,NULL
895,2011-11-13,1,100,835,NULL,NULL,NULL
903,2012-06-04,1,90,1312,NULL,NULL,NULL
918,2011-12-05,1,100,892,NULL,NULL,NULL
949,2012-04-16,1,90,1199,NULL,NULL,NULL
956,2012-06-04,1,95,1311,NULL,NULL,NULL
960,2012-03-25,1,100,1194,NULL,NULL,NULL
965,2011-11-21,1,95,875,NULL,NULL,NULL
979,2011-11-14,1,100,839,NULL,NULL,NULL
991,2011-11-14,1,100,845,NULL,NULL,NULL
1009,2012-05-15,1,95,1286,NULL,NULL,NULL
1010,2011-12-05,1,85,891,NULL,NULL,NULL
1017,2011-12-05,1,100,887,NULL,NULL,NULL
1028,2011-11-14,1,100,840,NULL,NULL,NULL
1031,2012-04-05,1,100,1229,NULL,NULL,NULL
1032,2011-11-10,1,100,819,NULL,NULL,NULL
1033,2011-12-22,1,100,924,NULL,NULL,NULL
1041,2012-06-04,1,85,1313,NULL,NULL,NULL
1071,2012-05-16,1,100,1290,NULL,NULL,NULL
1123,2011-11-14,1,85,846,NULL,NULL,NULL
1124,2011-11-17,1,80,824,NULL,NULL,NULL
1128,2012-06-14,1,65,1324,NULL,NULL,NULL
1129,2011-11-22,1,100,862,NULL,NULL,NULL
1144,2012-04-24,1,100,1265,NULL,NULL,NULL
1178,2012-04-05,1,95,1226,NULL,NULL,NULL
1183,2012-04-24,1,90,1267,NULL,NULL,NULL
1184,2011-11-13,1,95,847,NULL,NULL,NULL
1207,2012-04-24,1,70,1268,NULL,NULL,NULL
1222,2011-12-09,1,100,900,NULL,NULL,NULL
1230,2012-02-27,1,90,1108,NULL,NULL,NULL
1238,2012-04-17,1,100,1258,NULL,NULL,NULL
1244,2012-04-17,1,85,1254,NULL,NULL,NULL
1277,2012-04-05,1,100,1233,NULL,NULL,NULL
1318,2012-08-08,1,100,1383,NULL,NULL,NULL
1320,2012-08-08,1,80,1385,NULL,NULL,NULL
1335,2012-08-14,1,95,1392,NULL,NULL,NULL
1341,2012-08-14,1,95,1407,NULL,NULL,NULL
1343,2012-08-14,1,100,1401,NULL,NULL,NULL
1365,2012-08-17,1,100,1408,NULL,NULL,NULL
1380,2012-08-22,1,85,1413,NULL,NULL,NULL
1447,2012-09-19,1,85,1418,NULL,NULL,NULL
1454,2012-09-19,1,100,1426,NULL,NULL,NULL
1455,2012-09-19,1,100,1429,NULL,NULL,NULL
1456,2012-09-19,1,100,1428,NULL,NULL,NULL
1460,2012-09-19,1,100,1427,NULL,NULL,NULL
1524,2012-10-02,1,35,1437,NULL,NULL,NULL
1525,2012-10-02,1,85,1450,NULL,NULL,NULL
1574,2012-10-04,1,70,1452,NULL,NULL,NULL
1583,2012-10-04,1,80,1466,NULL,NULL,NULL
1612,2012-10-18,1,100,1486,NULL,NULL,NULL
1661,2012-11-09,1,100,1504,NULL,NULL,NULL
1662,2012-11-09,1,100,1503,NULL,NULL,NULL
1665,2012-11-13,1,95,1515,NULL,NULL,NULL
1682,2012-11-20,1,85,1549,NULL,NULL,NULL
1684,2012-11-20,1,95,1509,NULL,NULL,NULL
1708,2012-11-27,1,85,1526,NULL,NULL,NULL
1724,2012-11-27,1,35,1530,NULL,NULL,NULL
1748,2012-11-28,1,95,1525,NULL,NULL,NULL
1829,2012-12-22,1,65,1572,NULL,NULL,NULL
1831,2012-12-22,1,100,1567,NULL,NULL,NULL
1839,2012-12-31,1,95,1589,NULL,NULL,NULL
1847,2012-12-31,1,90,1590,NULL,NULL,NULL
1850,2012-12-31,1,95,1591,NULL,NULL,NULL
1851,2012-12-31,1,95,1593,NULL,NULL,NULL
1856,2012-12-31,1,100,1597,NULL,NULL,NULL
1885,2013-01-10,1,100,1601,NULL,NULL,NULL
1891,2013-01-10,1,100,1599,NULL,NULL,NULL
1911,2013-01-28,1,100,1625,NULL,NULL,NULL
1915,2013-01-28,1,100,1616,NULL,NULL,NULL
1922,2013-01-28,1,95,1624,NULL,NULL,NULL
1924,2013-01-28,1,90,1621,NULL,NULL,NULL
1925,2013-01-28,1,75,1622,NULL,NULL,NULL
1964,2013-02-05,1,80,1646,NULL,NULL,NULL
1971,2013-02-06,1,60,1638,NULL,NULL,NULL
2041,2013-03-19,1,85,1683,NULL,NULL,NULL
2043,2013-03-19,1,85,1691,NULL,NULL,NULL
2046,2013-03-19,1,95,1682,NULL,NULL,NULL
2085,2013-04-14,1,95,1283,NULL,NULL,NULL
2126,2013-05-29,1,89,1703,NULL,NULL,NULL
2159,2013-05-29,1,89,1717,NULL,NULL,NULL
