GradeRecNo,GradeDateGraded,GradeLessonsRecNo,GradeScore,GradeStudentsRecNo,GradeDateSent,GradeDateReceived,GradeComments
20,2012-06-29,7,97,962,NULL,NULL,NULL
72,2012-06-03,7,85,1050,NULL,NULL,NULL
78,2012-05-23,7,99,1252,NULL,NULL,NULL
114,2012-05-25,7,93,1207,NULL,NULL,NULL
152,2012-05-29,7,96,1049,NULL,NULL,NULL
168,2012-05-25,7,99,1239,NULL,NULL,NULL
253,2012-05-10,7,94,1203,NULL,NULL,NULL
283,2012-01-27,7,100,983,NULL,NULL,NULL
343,2012-05-25,7,97,1213,NULL,NULL,NULL
372,2012-06-03,7,96,1104,NULL,NULL,NULL
379,2012-06-12,7,95,1248,NULL,NULL,NULL
425,2012-06-24,7,99,1071,NULL,NULL,NULL
510,2012-07-31,7,98,1181,NULL,NULL,NULL
605,2012-01-26,7,96,984,NULL,NULL,NULL
613,2012-05-30,7,98,1237,NULL,NULL,NULL
620,2012-05-31,7,96,1261,NULL,NULL,NULL
674,2012-05-29,7,99,1205,NULL,NULL,NULL
708,2012-05-25,7,96,1283,NULL,NULL,NULL
715,2012-05-29,7,97,1271,NULL,NULL,NULL
972,2012-03-20,7,95,910,NULL,NULL,NULL
1008,2012-04-17,7,100,1196,NULL,NULL,NULL
1282,2012-07-17,7,98,1170,NULL,NULL,NULL
1310,2012-08-07,7,100,1146,NULL,NULL,NULL
1312,2012-08-07,7,99,1126,NULL,NULL,NULL
1325,2012-08-08,7,100,1129,NULL,NULL,NULL
1394,2012-09-08,7,98,862,NULL,NULL,NULL
1397,2012-09-08,7,99,1226,NULL,NULL,NULL
1413,2012-09-11,7,84,1413,NULL,NULL,NULL
1487,2012-09-26,7,62,824,NULL,NULL,NULL
1494,2012-09-26,7,92,1315,NULL,NULL,NULL
1593,2012-10-09,7,86,892,NULL,NULL,NULL
1639,2012-11-07,7,63,1418,NULL,NULL,NULL
1718,2012-11-27,7,92,1528,NULL,NULL,NULL
1725,2012-11-27,7,99,924,NULL,NULL,NULL
1749,2013-01-08,7,88,1525,NULL,NULL,NULL
1791,2012-12-11,7,100,1290,NULL,NULL,NULL
1792,2012-12-11,7,65,1427,NULL,NULL,NULL
1806,2013-01-15,7,98,874,NULL,NULL,NULL
1810,2012-12-16,7,78,727,NULL,NULL,NULL
1835,2012-12-27,7,48,733,NULL,NULL,NULL
1884,2013-01-10,7,87,1486,NULL,NULL,NULL
2128,2013-05-29,7,89,1428,NULL,NULL,NULL
2175,2013-05-29,7,89,1426,NULL,NULL,NULL
