GradeRecNo,GradeDateGraded,GradeLessonsRecNo,GradeScore,GradeStudentsRecNo,GradeDateSent,GradeDateReceived,GradeComments
4,2012-04-16,3,100,1196,NULL,NULL,NULL
74,2012-04-11,3,96,1252,NULL,NULL,NULL
110,2012-06-01,3,84,1207,NULL,NULL,NULL
132,2012-02-21,3,58,1048,NULL,NULL,NULL
151,2012-02-21,3,98,1049,NULL,NULL,NULL
156,2012-03-12,3,96,1126,NULL,NULL,NULL
176,2012-04-22,3,100,1170,NULL,NULL,NULL
194,2012-06-14,3,92,1129,NULL,NULL,NULL
237,2012-06-04,3,92,1317,NULL,NULL,NULL
244,2012-03-12,3,98,1134,NULL,NULL,NULL
250,2012-03-29,3,62,1203,NULL,NULL,NULL
268,2012-03-29,3,98,962,NULL,NULL,NULL
279,2012-01-12,3,92,983,NULL,NULL,NULL
312,2012-04-24,3,72,1180,NULL,NULL,NULL
375,2012-04-17,3,88,1248,NULL,NULL,NULL
406,2012-06-04,3,92,1315,NULL,NULL,NULL
421,2012-03-12,3,92,1071,NULL,NULL,NULL
479,2012-03-12,3,100,1146,NULL,NULL,NULL
500,2012-06-12,3,98,1318,NULL,NULL,NULL
506,2012-04-04,3,100,1181,NULL,NULL,NULL
601,2012-01-12,3,96,984,NULL,NULL,NULL
623,2012-06-12,3,96,1319,NULL,NULL,NULL
671,2012-03-22,3,92,1205,NULL,NULL,NULL
795,2012-05-29,3,92,857,NULL,NULL,NULL
852,2012-04-24,3,68,1270,NULL,NULL,NULL
867,2012-04-24,3,98,1260,NULL,NULL,NULL
951,2012-05-10,3,60,1199,NULL,NULL,NULL
1004,2012-04-16,3,100,1196,NULL,NULL,NULL
1030,2012-04-02,3,100,840,NULL,NULL,NULL
1035,2012-02-16,3,92,947,NULL,NULL,NULL
1131,2011-12-15,3,100,862,NULL,NULL,NULL
1180,2012-06-26,3,96,1226,NULL,NULL,NULL
1186,2012-03-25,3,100,847,NULL,NULL,NULL
1240,2012-04-17,3,100,1258,NULL,NULL,NULL
1300,2012-08-02,3,76,1237,NULL,NULL,NULL
1327,2012-08-09,3,96,1239,NULL,NULL,NULL
1330,2012-08-14,3,98,733,NULL,NULL,NULL
1350,2012-08-14,3,88,727,NULL,NULL,NULL
1391,2012-08-30,3,100,1286,NULL,NULL,NULL
1410,2012-09-11,3,94,1413,NULL,NULL,NULL
1426,2012-09-11,3,90,1399,NULL,NULL,NULL
1445,2012-09-19,3,90,1392,NULL,NULL,NULL
1448,2012-09-19,3,66,1418,NULL,NULL,NULL
1475,2012-09-25,3,92,892,NULL,NULL,NULL
1598,2012-10-09,3,86,1217,NULL,NULL,NULL
1617,2012-10-25,3,94,1509,NULL,NULL,NULL
1637,2012-10-30,3,98,1291,NULL,NULL,NULL
1664,2012-11-11,3,76,1505,NULL,NULL,NULL
1802,2012-12-11,3,78,1427,NULL,NULL,NULL
1861,2013-01-02,3,86,1553,NULL,NULL,NULL
1889,2013-01-10,3,74,1486,NULL,NULL,NULL
1982,2013-02-19,3,94,1646,NULL,NULL,NULL
1989,2013-03-01,3,98,1625,NULL,NULL,NULL
1994,2013-03-01,3,96,1525,NULL,NULL,NULL
2123,2013-05-29,3,89,1428,NULL,NULL,NULL
2168,2013-05-29,3,89,1622,NULL,NULL,NULL
2171,2013-05-29,3,89,1426,NULL,NULL,NULL
